Latitude,Longitude,mode
25.018370166666667,121.54272916666666,GPS
25.018370166666667,121.54272916666666,GPS
25.018370333333333,121.54272916666666,GPS
25.018370333333333,121.54272933333333,GPS
25.018370333333333,121.54272933333333,GPS
25.018370333333333,121.54272933333333,GPS
25.018370333333333,121.54272933333333,GPS
25.01838083333333,121.542729,DGPS
25.01838,121.5427285,RTK Float
25.01838,121.54272833333333,RTK Float
25.018380666666665,121.54272816666666,RTK Float
25.01838083333333,121.542728,RTK Float
25.018381833333333,121.54272783333333,RTK Float
25.018382666666668,121.54272783333333,RTK Float
25.018384833333332,121.54272716666667,RTK Float
25.018386166666666,121.54272683333333,RTK Float
25.018387666666666,121.54272666666667,RTK Float
25.018396833333334,121.5427255,RTK Float
25.018408,121.54272066666667,RTK Float
25.018417833333334,121.54271633333333,RTK Float
25.018430666666667,121.54271183333333,RTK Float
25.018441666666668,121.54270816666667,RTK Float
25.018447666666667,121.54270483333333,RTK Float
25.018452833333335,121.54270233333334,RTK Float
25.018462,121.542698,RTK Float
25.0184695,121.54269483333333,RTK Float
25.018473833333335,121.5426935,RTK Float
25.018478,121.54269233333333,RTK Float
25.018480333333333,121.54269183333334,RTK Float
25.018483,121.54269116666667,RTK Float
