Latitude,Longitude
25.018674166666667,121.54284766666666,Autonomous
25.018674166666667,121.5428475,Autonomous
25.018674166666667,121.5428475,Autonomous
25.018674166666667,121.54284733333333,Autonomous
25.018674333333333,121.54284733333333,Autonomous
25.018674333333333,121.54284733333333,Autonomous
25.018674333333333,121.54284733333333,Autonomous
25.018674333333333,121.54284733333333,Autonomous
25.018674333333333,121.54284716666666,Autonomous
25.018674333333333,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.54284683333333,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.54284683333333,Autonomous
25.018674166666667,121.54284683333333,Autonomous
25.018674166666667,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674,121.54284683333333,Autonomous
25.018674166666667,121.54284683333333,Autonomous
25.018674,121.542847,Autonomous
25.018673833333334,121.54284716666666,Autonomous
25.018673833333334,121.54284716666666,Autonomous
25.018673833333334,121.54284716666666,Autonomous
25.018674,121.54284716666666,Autonomous
25.018674,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.54284716666666,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674166666667,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.5428465,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.0186745,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284666666666,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.54284683333333,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.542847,Autonomous
25.018674333333333,121.54284716666666,Autonomous
25.018674333333333,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.018674333333333,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284716666666,Autonomous
25.0186745,121.54284733333333,Autonomous
25.0186745,121.54284733333333,Autonomous
25.0186745,121.54284733333333,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.5428475,Autonomous
25.0186745,121.54284766666666,Autonomous
25.0186745,121.54284766666666,Autonomous
25.0186745,121.54284766666666,Autonomous
25.0186745,121.54284783333334,Autonomous
25.0186745,121.54284783333334,Autonomous
25.0186745,121.54284783333334,Autonomous
25.0186745,121.54284783333334,Autonomous
25.0186745,121.54284783333334,Autonomous
25.0186745,121.54284783333334,Autonomous
25.018674666666666,121.54284783333334,Autonomous
25.018674666666666,121.54284783333334,Autonomous
25.018674666666666,121.542848,Autonomous
25.018674666666666,121.542848,Autonomous
25.018674666666666,121.542848,Autonomous
25.018674666666666,121.542848,Autonomous
25.0186745,121.542848,Autonomous
25.0186745,121.54284816666667,Autonomous
25.0186745,121.54284816666667,Autonomous
